SA2,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Total
Rouse Hill - Beaumont Hills,5,360,110,180,153,154,224,245,322,405,289,284,192,276,79,151,3430
Blacktown (East) - Kings Park,17,544,107,204,155,206,265,320,368,354,200,136,83,64,12,189,3216
Blacktown (North) - Marayong,15,322,90,185,162,190,268,293,301,331,212,105,69,52,18,132,2749
Doonside - Woodcroft,19,382,110,214,167,205,283,368,439,400,294,171,87,109,23,183,3449
Lalor Park - Kings Langley,11,344,125,198,162,203,271,327,391,441,296,254,119,165,37,195,3544
Seven Hills - Toongabbie,18,446,117,213,195,181,295,320,403,397,284,218,114,109,30,217,3571
Blacktown (South),6,239,64,128,107,115,148,208,213,196,120,76,61,38,7,114,1837
Blacktown (West),21,291,81,158,134,178,220,262,274,257,139,100,67,50,6,148,2389
Glenwood,10,312,79,119,100,109,159,208,236,279,235,182,135,150,44,70,2432
Parklea - Kellyville Ridge,22,686,171,253,204,248,357,450,552,701,604,550,360,436,114,282,5976
Riverstone - Marsden Park,6,286,90,110,124,157,212,268,283,368,277,223,115,156,23,211,2914
Acacia Gardens,0,72,20,23,26,24,40,54,69,79,77,61,28,35,10,29,643
Quakers Hill,9,423,139,183,162,199,297,364,437,499,346,261,167,159,28,173,3856
Bidwill - Hebersham - Emerton,13,220,82,214,239,252,313,301,266,156,75,55,37,6,17,261,2497
Glendenning - Dean Park,0,167,38,82,73,77,129,145,174,161,112,64,24,19,3,68,1340
Hassall Grove - Plumpton,28,320,84,189,146,173,294,333,382,360,219,144,69,64,7,177,2996
Lethbridge Park - Tregear,11,249,80,231,240,236,342,368,369,322,164,115,67,38,22,306,3165
Mount Druitt - Whalan,33,509,122,343,280,261,371,383,305,293,143,75,42,25,4,252,3445
Prospect Reservoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Rooty Hill - Minchinbury,23,352,81,149,169,178,265,334,359,405,229,167,89,60,9,183,3038
Banksmeadow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Botany,8,126,40,50,55,64,95,151,179,208,204,152,106,146,36,144,1772
Mascot - Eastlakes,22,485,102,206,188,234,312,367,475,522,355,298,239,261,98,318,4481
Pagewood - Hillsdale - Daceyville,6,172,47,80,102,98,116,150,172,192,125,92,52,86,31,144,1672
Port Botany Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sydney Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18
Marrickville,14,281,95,197,187,242,329,394,508,608,554,453,318,487,128,486,5283
Petersham - Stanmore,5,182,57,130,106,171,225,270,398,574,470,432,284,454,211,462,4439
Sydenham - Tempe - St Peters,5,76,22,40,60,67,89,105,136,165,148,182,109,173,62,128,1560
Darlinghurst,4,106,25,56,78,96,111,126,162,247,212,251,158,321,217,417,2583
Erskineville - Alexandria,5,125,47,79,64,85,154,186,335,511,540,529,369,664,254,363,4321
Glebe - Forest Lodge,15,287,73,125,141,157,203,207,301,449,396,386,295,457,234,443,4165
Newtown - Camperdown - Darlington,17,299,80,169,164,208,256,273,459,679,598,535,390,601,231,537,5489
Potts Point - Woolloomooloo,12,143,30,75,97,123,155,223,298,460,398,441,338,593,360,772,4526
Pyrmont - Ultimo,38,582,107,187,244,260,284,319,364,430,353,322,220,461,242,548,4972
Redfern - Chippendale,19,402,69,138,201,244,263,258,395,501,497,439,292,420,175,620,4934
Surry Hills,7,166,46,110,151,152,195,167,279,409,380,346,281,512,267,484,3947
Sydney - Haymarket - The Rocks,48,831,130,354,713,738,609,506,492,505,322,282,173,357,222,1093,7380
Waterloo - Beaconsfield,31,624,122,204,227,263,344,411,597,842,737,731,483,772,239,792,7419
Bondi - Tamarama - Bronte,7,208,45,78,105,120,160,243,310,396,400,376,278,494,363,533,4127
Bondi Beach - North Bondi,14,237,58,109,120,158,205,291,379,520,469,483,345,635,382,689,5109
Bondi Junction - Waverly,5,183,54,62,106,118,152,208,253,339,293,306,207,363,250,433,3315
Centennial Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Bay - Bellevue Hill,10,275,56,84,70,84,143,183,264,450,464,444,341,603,444,515,4413
Dover Heights,0,145,32,62,51,61,84,107,155,186,150,150,85,173,151,129,1715
Paddington - Moore Park,11,152,40,60,72,72,125,133,179,325,389,366,285,484,366,392,3458
Rose Bay - Vaucluse - Watsons Bay,5,140,39,36,37,53,70,74,110,142,126,99,78,137,146,128,1418
Woollahra,0,80,15,26,31,25,42,37,86,124,131,136,106,188,182,133,1335
Coogee - Clovelly,12,260,86,121,131,135,203,249,364,570,592,550,420,671,396,508,5284
Malabar - La Perouse - Chifley,11,199,60,129,112,138,196,201,272,335,250,229,150,210,103,266,2877
Kensington (NSW),9,266,52,69,74,119,150,161,181,245,216,170,127,191,70,215,2312
Kingsford,16,361,76,100,102,114,173,138,166,238,171,152,107,145,59,145,2269
Maroubra - North,0,109,40,52,50,55,82,120,120,202,128,128,99,122,87,90,1477
Maroubra - South,4,129,30,79,68,75,108,140,146,194,141,140,110,149,67,154,1738
Maroubra - West,9,190,54,57,47,76,114,139,145,181,138,112,77,142,57,116,1640
Randwick - North,7,196,54,81,88,110,170,188,268,418,422,439,290,428,217,244,3634
Randwick - South,9,189,47,66,70,72,106,146,206,307,277,309,194,270,164,269,2703
Bass Hill - Georges Hall,29,343,100,278,210,208,264,287,245,237,159,98,56,55,16,188,2788
Chullora,0,26,4,8,4,12,11,16,10,21,18,21,11,11,0,19,183
Condell Park,15,203,73,149,130,115,170,158,146,138,98,69,42,38,6,109,1665
Greenacre - Mount Lewis,33,522,140,386,277,257,313,271,251,272,182,114,57,69,28,288,3444
Padstow,7,222,64,111,107,98,154,215,235,270,200,133,96,87,24,119,2143
Panania - Milperra - Picnic Point,12,313,104,207,154,167,283,323,369,396,291,233,163,222,43,197,3480
Revesby,10,239,74,148,128,127,189,236,230,277,180,131,99,90,21,111,2295
Yagoona - Birrong,26,386,94,282,233,187,293,266,248,260,161,110,44,58,15,196,2859
Bankstown - North,26,518,88,272,194,176,255,256,218,196,119,74,44,44,5,246,2733
Bankstown - South,30,419,97,244,178,194,229,215,195,171,107,68,32,22,9,249,2461
Belmore - Belfield,20,328,89,185,188,180,246,231,292,269,170,155,81,70,19,193,2722
Canterbury (South) - Campsie,36,821,152,380,321,328,512,539,541,527,296,196,112,127,39,361,5293
Kingsgrove (North) - Earlwood,8,273,109,118,154,158,221,243,303,336,278,228,147,226,76,240,3114
Punchbowl,30,469,99,323,243,219,291,268,237,204,135,80,40,39,8,227,2910
Roselands,14,273,76,118,91,129,168,182,172,158,158,99,63,57,13,116,1896
Lakemba,27,793,116,326,181,177,213,201,130,123,55,39,32,15,10,207,2643
Wiley Park,12,410,75,197,129,136,126,121,131,107,59,28,13,20,4,170,1750
Hurstville,27,741,150,228,262,251,349,397,446,409,244,198,89,135,41,233,4184
Mortdale - Penshurst,3,410,99,175,172,171,302,346,444,436,362,240,161,217,73,264,3887
Narwee - Beverly Hills,14,220,71,136,97,114,168,202,198,206,149,123,70,80,17,117,1976
Oatley - Hurstville Grove,10,165,62,61,65,71,116,138,150,181,152,116,91,121,68,57,1610
Peakhurst - Lugarno,8,180,52,126,99,118,169,174,225,231,197,160,110,127,50,92,2113
Riverwood,14,235,54,114,95,119,152,171,156,151,95,77,40,38,9,110,1623
South Hurstville - Blakehurst,12,523,131,172,182,221,270,345,359,377,255,173,129,152,79,151,3516
Arncliffe - Bardwell Valley,35,527,101,193,220,258,349,406,457,522,381,283,191,266,48,377,4624
Bexley,18,504,117,247,224,266,357,387,440,447,290,233,139,177,43,264,4146
Kingsgrove (South) - Bardwell Park,4,148,56,85,88,77,125,137,183,172,156,118,81,113,42,91,1679
Kogarah,13,306,66,101,111,109,166,196,215,254,180,151,86,104,17,131,2204
Kogarah Bay - Carlton - Allawah,13,275,83,118,124,161,216,239,263,301,208,166,98,116,36,152,2562
Monterey - Brighton-le-Sands - Kyeemagh,20,200,47,87,105,105,173,185,236,261,174,149,94,113,44,211,2200
Rockdale - Banksia,25,482,80,177,205,259,302,393,432,401,249,170,115,144,51,263,3745
Sans Souci - Ramsgate,4,178,68,89,93,108,164,164,235,246,185,154,114,117,71,165,2135
Concord - Mortlake - Cabarita,7,288,74,103,109,109,193,170,248,326,276,241,186,303,176,169,2966
Concord West - North Strathfield,49,896,115,197,187,187,295,373,525,612,440,398,265,373,148,373,5432
Drummoyne - Rodd Point,10,216,60,76,64,83,124,157,202,318,275,292,226,357,240,265,2962
Five Dock - Abbotsford,9,221,78,107,109,110,158,195,240,328,302,317,221,433,220,246,3302
Balmain,7,188,47,63,59,67,102,100,157,187,227,230,183,433,369,245,2674
Leichhardt - Annandale,10,271,87,143,122,136,238,273,406,486,469,471,358,655,459,429,5011
Lilyfield - Rozelle,12,155,40,72,56,79,105,92,122,257,234,238,206,428,333,242,2672
Ashfield,14,553,134,219,207,253,327,401,477,505,383,293,209,275,77,343,4661
Burwood - Croydon,25,669,126,217,221,251,333,357,418,439,280,240,139,222,81,278,4294
Canterbury (North) - Ashbury,0,124,42,64,75,83,112,133,149,219,155,125,81,115,41,127,1654
Croydon Park - Enfield,3,224,79,138,115,150,192,201,302,269,246,169,123,156,57,138,2546
Dulwich Hill - Lewisham,16,163,52,108,94,122,186,234,273,425,335,309,230,318,99,286,3237
Haberfield - Summer Hill,4,149,57,72,65,93,101,152,185,273,235,208,127,208,117,135,2179
Homebush,19,628,78,158,148,152,228,271,319,376,247,207,125,139,28,357,3488
Strathfield,20,606,104,156,204,211,300,330,359,422,315,260,144,221,116,307,4079
Strathfield South,0,67,8,34,25,18,29,34,39,67,51,32,21,32,10,39,523
Chatswood (East) - Artarmon,24,923,152,210,216,217,266,344,414,530,453,437,325,467,254,376,5601
Chatswood (West) - Lane Cove North,20,433,76,118,111,137,196,242,311,478,422,387,266,419,206,254,4061
Lane Cove - Greenwich,10,376,96,101,85,111,152,207,281,403,377,374,254,522,374,245,3976
St Leonards - Naremburn,0,239,50,46,50,58,75,101,151,229,237,269,210,370,200,220,2511
Willoughby - Castle Cove - Northbridge,9,317,80,104,91,98,141,171,214,284,231,257,172,389,408,164,3128
Asquith - Mount Colah,0,262,106,108,102,131,159,207,231,254,189,182,146,175,49,89,2386
Berowra - Brooklyn - Cowan,3,127,46,68,67,49,116,155,141,172,118,99,71,89,30,52,1400
Normanhurst - Thornleigh - Westleigh,12,242,80,99,90,88,138,149,176,213,189,187,150,218,72,75,2169
Hornsby - East,10,425,105,131,103,119,152,200,237,292,206,174,94,134,18,113,2505
Hornsby - West,4,190,41,70,59,74,117,104,169,159,129,92,65,101,28,110,1516
Waitara - Wahroonga (West),3,294,76,76,54,64,107,114,134,199,174,134,104,125,36,86,1775
Gordon - Killara,12,406,83,90,81,73,125,131,192,262,204,190,143,253,172,127,2561
Lindfield - Roseville,10,320,89,108,86,91,145,153,231,268,231,234,190,317,236,129,2825
Pymble,9,217,67,80,60,62,76,102,131,159,163,152,115,218,162,84,1853
St Ives,3,335,73,97,80,100,120,131,169,217,210,157,119,245,171,92,2329
Turramurra,9,192,73,67,65,71,81,110,154,203,170,155,135,220,153,85,1938
Wahroonga (East) - Warrawee,6,183,53,70,75,81,85,110,131,171,179,149,109,204,130,76,1803
Cremorne - Cammeray,12,248,49,71,81,107,135,165,214,345,368,409,289,601,418,259,3786
Crows Nest - Waverton,7,252,63,82,91,83,140,168,257,465,474,497,388,636,325,318,4249
Mosman,8,381,91,104,107,117,143,193,241,345,334,376,254,554,500,353,4089
Neutral Bay - Kirribilli,9,220,60,75,69,87,129,175,274,418,422,401,346,646,353,357,4048
North Sydney - Lavender Bay,0,166,36,47,27,45,64,84,128,217,229,222,201,340,234,252,2295
Balgowlah - Clontarf - Seaforth,10,270,77,77,80,87,153,136,186,242,206,192,134,273,311,139,2576
Manly - Fairlight,13,288,63,91,100,114,182,196,317,460,434,436,347,577,407,406,4425
Avalon - Palm Beach,0,112,38,58,53,64,89,104,100,96,93,72,44,70,57,67,1121
Bayview - Elanora Heights,3,87,43,47,38,35,74,81,89,106,87,79,41,70,61,66,1005
Newport - Bilgola,0,116,47,62,80,69,107,126,124,167,125,101,67,77,74,72,1432
Warriewood - Mona Vale,7,219,72,137,146,142,206,279,293,343,291,220,136,240,102,186,3038
Beacon Hill - Narraweena,5,118,53,67,97,87,121,149,165,164,145,125,81,132,58,85,1659
Cromer,0,61,27,42,37,56,63,73,103,95,89,60,30,54,27,54,878
Dee Why - North Curl Curl,13,356,112,183,183,238,309,421,545,566,413,348,192,281,138,321,4632
Forestville - Killarney Heights,6,146,65,69,47,72,97,98,116,126,109,108,82,141,102,60,1428
Frenchs Forest - Belrose,4,218,91,121,109,111,193,213,250,319,253,201,147,260,151,93,2723
Freshwater - Brookvale,9,243,83,124,107,133,212,258,366,459,369,366,228,388,234,282,3863
Manly Vale - Allambie Heights,6,206,73,80,109,109,172,200,203,268,202,171,117,227,127,125,2399
Narrabeen - Collaroy,9,242,82,106,135,133,227,290,352,455,345,315,177,263,152,231,3515
Terrey Hills - Duffys Forest,0,30,10,11,20,13,16,33,41,32,26,27,14,20,28,26,351
Camden - Ellis Lane,5,94,55,80,76,88,136,151,164,167,166,127,80,91,22,60,1565
Elderslie - Harrington Park,10,227,91,145,163,166,284,304,364,358,271,206,167,204,38,154,3150
Mount Annan - Currans Hill,8,355,159,258,215,261,425,497,560,620,442,327,203,182,34,236,4783
Bradbury - Wedderburn,12,197,77,226,204,221,314,346,328,282,149,126,69,48,8,189,2793
Campbelltown - Woodbine,12,288,80,161,147,186,248,302,282,260,216,134,76,81,17,197,2694
Claymore - Eagle Vale - Raby,3,229,96,203,199,205,300,368,340,319,195,128,75,55,5,214,2946
Holsworthy Military Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ingleburn - Denham Court,7,348,158,203,162,170,248,312,313,296,214,153,68,77,24,217,2965
Leumeah - Minto Heights,15,221,82,171,129,148,223,283,292,258,161,106,58,56,10,144,2356
Macquarie Fields - Glenfield,20,471,128,247,234,242,374,375,400,335,211,161,65,73,16,253,3600
Minto - St Andrews,25,370,114,228,208,211,273,337,335,286,168,119,54,45,14,172,2954
Rosemeadow - Glen Alpine,18,213,91,184,210,218,281,311,312,268,175,116,61,66,23,226,2779
Bargo,0,49,31,43,47,58,76,81,88,68,43,32,11,25,0,49,716
Douglas Park - Appin,0,97,49,73,70,60,111,134,142,147,141,92,65,70,13,76,1330
Picton - Tahmoor - Buxton,9,171,69,130,135,151,211,265,242,228,139,123,79,70,17,157,2181
The Oaks - Oakdale,0,89,41,68,71,66,111,118,132,140,76,51,37,33,13,73,1126
Blackheath - Megalong Valley,0,39,24,42,49,37,75,71,47,43,26,16,20,17,6,50,562
Blaxland - Warrimoo - Lapstone,3,166,77,114,89,144,194,185,228,268,200,196,134,138,42,80,2259
Blue Mountains - North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katoomba - Leura,8,92,46,103,110,131,181,145,153,134,89,50,41,32,14,126,1442
Lawson - Hazelbrook - Linden,8,98,56,103,94,82,135,139,145,127,92,76,43,48,7,74,1317
Springwood - Winmalee,8,135,109,140,127,158,210,231,276,292,234,182,134,127,26,93,2467
Wentworth Falls,0,43,18,47,44,54,54,61,50,61,32,40,28,22,16,40,586
Blue Mountains - South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge Park,4,131,68,145,140,165,232,264,310,291,182,120,67,46,12,141,2327
Castlereagh - Cranebrook,13,296,118,239,172,242,349,360,460,539,331,252,140,146,46,257,3954
Emu Plains - Leonay,6,119,70,84,83,105,164,159,230,239,183,137,88,110,35,206,2011
Glenmore Park - Regentville,7,221,99,153,161,173,258,340,369,387,323,234,164,157,40,147,3253
Jamisontown - South Penrith,7,161,80,135,122,175,253,264,293,323,214,160,78,83,20,160,2543
Kingswood - Werrington,9,317,85,204,193,218,320,320,364,391,224,174,108,81,16,211,3227
Mulgoa - Luddenham - Orchard Hills,0,119,42,57,48,76,102,128,152,185,116,101,67,69,21,110,1382
Penrith,4,144,48,104,129,146,203,202,213,249,184,87,69,47,16,152,1981
Warragamba - Silverdale,0,56,21,45,50,38,58,69,71,82,45,30,21,16,3,36,653
Richmond - Clarendon,4,114,62,126,107,133,181,195,203,191,133,93,47,49,13,126,1797
Windsor - Bligh Park,11,145,87,129,158,157,241,248,240,215,172,106,61,48,10,133,2155
Yarramundi - Londonderry,0,48,21,57,62,51,70,86,88,76,52,39,24,23,3,242,942
Erskine Park,6,70,25,54,37,44,74,71,100,122,66,60,15,12,11,44,814
St Clair,7,234,86,177,167,179,260,308,361,351,232,177,81,74,15,190,2902
Colyton - Oxley Park,15,135,52,115,90,128,176,210,197,163,106,53,40,29,6,144,1657
St Marys - North St Marys,12,225,58,164,172,167,249,285,266,250,130,88,36,24,9,242,2376
Homebush Bay - Silverwater,24,559,112,164,130,114,190,247,332,486,367,327,215,336,82,639,4315
Rookwood Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburn - Central,32,572,78,257,202,190,239,219,197,161,64,56,22,34,5,187,2534
Auburn - North,22,454,60,173,143,138,147,186,146,122,54,24,19,11,4,139,1850
Auburn - South,12,221,35,122,96,84,101,123,98,84,57,39,26,21,7,74,1193
Berala,16,242,45,131,100,101,104,111,111,104,62,59,32,28,10,66,1307
Lidcombe,44,572,110,182,209,201,280,292,305,352,219,132,104,107,35,232,3377
Regents Park,5,113,18,59,42,57,65,59,66,63,27,27,15,15,0,47,682
Carlingford,18,628,139,177,173,156,222,262,307,413,299,251,161,218,66,135,3636
Ermington - Rydalmere,17,396,142,185,156,185,251,258,304,340,272,215,134,152,47,183,3236
Oatlands - Dundas Valley,19,359,87,154,183,137,184,209,247,304,211,168,118,127,36,163,2687
Chester Hill - Sefton,10,321,80,235,175,174,230,230,183,198,122,83,44,57,15,186,2353
Fairfield - East,21,305,44,249,157,207,229,162,194,123,87,39,24,30,7,209,2107
Granville - Clyde,39,536,99,327,259,242,319,319,323,249,184,111,52,54,19,309,3435
Greystanes - Pemulwuy,11,422,128,217,194,197,243,347,417,449,332,292,150,209,47,217,3872
Guildford - South Granville,40,411,105,381,271,226,266,282,234,217,125,90,53,40,11,322,3077
Guildford West - Merrylands West,40,419,101,299,223,213,270,299,309,254,201,114,68,61,6,248,3123
Merrylands - Holroyd,47,699,160,424,323,315,370,385,394,406,271,207,120,139,29,290,4587
Smithfield Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yennora Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Parramatta,15,709,121,249,200,188,244,354,408,459,416,278,191,245,34,438,4560
North Rocks,0,131,33,41,45,46,58,67,84,107,80,91,64,71,19,23,963
Northmead,19,794,132,177,159,200,257,304,418,488,375,326,177,262,45,351,4489
Parramatta - Rosehill,38,1663,186,361,319,345,416,581,681,639,461,352,211,245,51,669,7217
Toongabbie - Constitution Hill,10,378,86,183,151,158,225,275,329,334,281,217,131,149,42,183,3136
Winston Hills,9,138,47,59,71,68,100,99,162,203,140,127,91,104,38,43,1497
Pendle Hill - Girraween,7,392,72,103,91,128,184,190,229,210,138,113,70,51,17,137,2120
Wentworthville - Westmead,12,614,105,165,142,139,184,205,269,287,188,154,87,118,27,149,2838
Epping - North Epping,19,673,150,175,157,166,211,228,324,424,331,302,215,307,100,154,3930
Pennant Hills - Cheltenham,8,262,84,106,83,86,127,135,172,246,225,206,134,210,130,83,2293
Eastwood - Denistone,27,594,134,181,153,178,261,262,349,402,291,240,138,207,74,178,3661
Gladesville - Huntleys Point,6,165,45,70,52,80,95,135,180,252,233,192,150,229,141,143,2180
Hunters Hill - Woolwich,5,91,31,40,45,38,44,51,74,91,83,90,66,108,143,72,1065
Macquarie Park - Marsfield,21,713,138,172,135,171,215,245,326,461,373,363,202,256,67,204,4070
North Ryde - East Ryde,3,159,31,68,68,60,82,129,148,174,128,126,106,172,74,73,1595
West Ryde - Meadowbank,19,573,108,151,183,186,238,316,350,501,351,310,212,245,101,172,4016
Putney,0,38,12,13,17,15,31,28,32,44,46,34,31,41,29,25,431
Ryde,17,623,132,206,190,177,266,347,473,546,419,345,214,335,124,290,4698
Ashcroft - Busby - Miller,24,205,70,251,217,219,278,239,178,110,74,32,13,15,7,269,2210
Austral - Greendale,7,106,31,64,68,86,108,108,86,89,64,51,24,20,3,104,1024
Cobbitty - Leppington,12,268,88,136,116,146,236,288,338,429,328,218,135,139,39,229,3141
Badgerys Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Cecil Hills,4,88,34,52,55,45,81,81,105,101,75,57,36,30,16,54,913
Green Valley,17,197,58,144,117,139,152,183,203,169,106,61,35,26,9,96,1721
Hinchinbrook,10,211,49,146,125,111,153,195,199,190,120,97,51,41,9,100,1810
Hoxton Park - Carnes Hill - Horningsea Park,6,203,60,124,110,115,169,184,211,217,169,115,68,60,9,105,1921
West Hoxton - Middleton Grange,10,250,88,162,128,137,215,224,275,303,213,164,117,113,19,161,2576
Bonnyrigg Heights - Bonnyrigg,24,257,64,213,192,128,212,212,219,207,128,79,37,35,10,122,2139
Bossley Park - Abbotsbury,20,212,67,229,157,148,228,210,226,236,178,102,56,65,22,138,2286
Cabramatta - Lansvale,44,604,140,445,334,280,385,356,276,218,125,95,47,32,12,243,3632
Cabramatta West - Mount Pritchard,11,308,77,215,193,186,236,245,209,185,121,81,57,22,9,175,2324
Canley Vale - Canley Heights,28,420,124,329,222,229,275,304,275,245,163,78,32,41,12,198,2971
Edensor Park,6,141,32,103,82,109,125,111,111,111,86,61,38,32,6,64,1240
Fairfield,20,288,82,381,281,222,275,182,208,178,120,64,36,35,12,196,2583
Fairfield - West,14,299,87,319,272,245,263,239,250,199,117,84,38,33,16,168,2634
Greenfield Park - Prairiewood,5,118,35,110,70,87,99,103,102,103,61,51,27,29,6,50,1038
Horsley Park - Kemps Creek,3,51,6,21,19,26,48,48,60,43,38,24,17,13,16,48,482
Smithfield - Wetherill Park,12,232,91,251,179,186,243,220,236,219,154,98,57,36,8,147,2372
St Johns Park - Wakeley,9,146,35,130,94,87,139,136,154,148,98,79,36,31,8,63,1391
Wetherill Park Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casula,9,243,79,165,148,147,180,217,233,234,156,128,70,55,16,171,2249
Chipping Norton - Moorebank,14,276,84,163,138,132,217,295,281,334,233,194,134,136,38,153,2815
Holsworthy - Wattle Grove,8,296,113,167,150,137,254,301,344,409,329,225,159,157,48,149,3259
Liverpool,32,618,142,461,305,309,394,397,333,357,186,120,65,39,14,654,4436
Lurnea - Cartwright,16,188,54,195,135,133,159,162,145,124,50,31,17,20,6,170,1590
Prestons - Edmondson Park,7,338,101,181,146,163,217,249,324,305,240,175,118,93,19,163,2836
Warwick Farm,9,142,26,99,59,63,81,68,78,69,52,41,13,19,8,163,989
Gymea - Grays Point,7,158,73,92,102,109,138,191,205,270,236,188,117,151,87,94,2233
Miranda - Yowie Bay,3,194,66,126,113,125,188,258,245,299,229,193,133,137,45,144,2492
Sylvania - Taren Point,3,144,57,99,63,96,135,165,192,206,144,139,84,117,52,107,1801
Caringbah,5,138,56,77,61,86,150,164,217,237,192,167,92,125,30,142,1941
Caringbah South,4,104,38,47,52,65,111,118,119,149,119,93,75,115,67,55,1339
Cronulla - Kurnell - Bundeena,8,200,76,121,105,134,253,264,411,530,410,367,177,238,106,341,3745
Lilli Pilli - Port Hacking - Dolans Bay,0,20,4,12,12,16,20,18,28,24,31,23,19,28,31,20,310
Woolaware - Burraneer,3,63,17,44,38,37,55,63,97,106,94,83,48,66,60,51,909
Heathcote - Waterfall,3,59,27,51,33,48,62,79,88,79,60,64,41,43,11,22,758
Illawong - Alfords Point,0,85,41,44,57,43,75,87,136,138,108,106,46,81,34,46,1125
Menai - Lucas Heights - Woronora,5,148,91,104,103,134,206,215,274,317,231,243,125,146,49,102,2488
Oyster Bay - Como - Jannali,5,192,94,116,135,113,183,216,268,299,243,216,156,248,91,117,2697
Royal National Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
Sutherland - Kirrawee,14,232,96,128,119,160,218,295,360,441,379,301,213,228,48,198,3440
Engadine,0,142,84,103,110,123,212,257,258,302,238,187,120,139,29,69,2368
Loftus - Yarrawarrah,0,44,34,39,44,44,83,97,99,110,94,82,54,58,10,34,925
Woronora Heights,0,31,13,18,21,14,38,31,37,44,42,34,16,22,12,9,390
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,6,0,7,7,0,3,0,3,0,0,5,34
No Usual Address (NSW),8,181,47,198,164,113,126,115,90,98,69,44,29,42,17,369,1716
Alfredton,3,105,58,112,74,136,207,187,179,172,113,97,42,42,14,79,1626
Ballarat,8,84,47,93,98,93,107,121,153,161,138,91,67,57,39,99,1456
Ballarat - North,6,165,99,221,201,259,320,309,343,304,245,172,80,60,29,197,3018
Ballarat - South,3,166,112,245,247,342,416,421,343,322,217,123,47,46,13,258,3323
Buninyong,0,55,24,52,37,59,70,87,84,83,51,56,35,22,11,57,783
Delacombe,4,41,29,75,65,73,127,129,108,93,68,39,16,8,6,58,945
Smythes Creek,0,25,24,39,36,37,52,48,34,46,24,21,17,10,0,20,441
Wendouree - Miners Rest,5,72,77,148,176,194,242,225,198,154,88,64,28,20,15,146,1859
Bacchus Marsh Region,3,61,38,51,43,49,58,81,62,60,36,40,18,27,10,52,685
Creswick - Clunes,4,45,37,61,69,81,99,97,71,52,26,29,10,9,7,77,769
Daylesford,7,56,37,87,77,77,95,102,78,66,47,34,13,15,12,83,878
Gordon (Vic.),0,41,22,51,39,33,75,68,55,58,31,28,20,17,4,59,602
Avoca,0,15,9,30,21,29,38,36,23,11,17,5,10,5,3,34,282
Beaufort,0,25,23,30,27,28,50,41,41,27,18,11,7,5,5,30,376
Golden Plains - North,0,37,15,46,40,47,56,59,55,42,23,21,9,0,6,31,492
Maryborough (Vic.),3,28,30,61,80,95,135,99,84,42,22,5,10,6,3,42,737
Maryborough Region,0,28,16,46,47,34,69,51,47,28,12,14,3,7,3,35,433
Bendigo,4,83,61,155,142,155,206,225,213,171,141,76,44,38,24,168,1916
California Gully - Eaglehawk,5,57,54,149,115,133,222,217,163,119,68,34,21,12,6,149,1515
East Bendigo - Kennington,0,69,33,84,101,96,166,190,152,157,130,93,36,32,19,76,1450
Flora Hill - Spring Gully,3,49,44,82,70,74,141,134,152,130,94,73,27,29,11,84,1207
Kangaroo Flat - Golden Square,6,134,95,204,203,210,332,314,293,244,161,77,56,36,15,208,2601
Maiden Gully,0,43,26,49,44,55,87,80,87,78,50,37,20,16,10,31,711
Strathfieldsaye,0,71,44,60,79,87,117,132,119,123,102,65,34,45,13,40,1124
White Hills - Ascot,0,78,63,100,123,132,206,235,236,208,131,93,40,20,11,112,1790
Bendigo Region - South,4,39,26,73,47,54,87,111,107,93,60,47,19,22,7,65,859
Castlemaine,5,54,38,92,80,107,131,117,107,83,46,38,19,20,4,96,1044
Castlemaine Region,4,52,37,71,67,55,81,70,68,61,51,16,12,17,7,76,743
Heathcote,0,20,20,38,30,36,50,39,35,37,22,16,6,8,3,38,392
