SA2,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
Longreach,49,99,12,64,84,25,5,25,5,3,114,479
Buderim - North,148,418,61,203,275,97,7,48,8,15,473,1755
Buderim - South,153,461,78,207,289,132,8,49,3,6,489,1876
Mountain Creek,127,365,70,226,287,115,12,54,8,3,482,1750
Sippy Downs,87,220,53,174,206,99,3,43,5,0,451,1346
Aroona - Currimundi,66,254,44,172,190,85,6,38,4,5,301,1176
Buddina - Minyama,54,148,25,92,127,51,4,24,3,5,193,715
Caloundra - Kings Beach,29,98,35,87,77,31,4,66,3,4,227,669
Caloundra - West,153,523,111,391,455,213,16,105,12,6,762,2759
Golden Beach - Pelican Waters,59,188,44,135,172,75,8,43,3,9,313,1056
Moffat Beach - Battery Hill,70,206,34,116,115,54,4,33,3,0,241,881
Parrearra - Warana,91,256,42,117,182,84,6,40,0,4,339,1159
Wurtulla - Birtinya,69,206,30,122,200,73,7,31,8,0,282,1038
Coolum Beach,121,470,89,245,290,121,9,85,8,4,557,2006
Marcoola - Mudjimba,84,232,64,160,193,85,4,52,5,5,373,1252
Maroochydore - Kuluin,203,474,111,325,299,196,9,136,13,14,714,2500
Mooloolaba - Alexandra Headland,114,346,63,217,183,114,6,50,7,14,452,1564
Noosa Heads,47,76,10,57,47,28,0,24,0,0,120,417
Noosaville,72,149,35,110,106,53,3,38,5,7,228,807
Sunshine Beach,86,169,42,102,74,67,0,22,4,0,207,775
Tewantin,59,131,52,148,153,79,10,64,0,3,290,982
Peregian Beach - Marcus Beach,36,112,15,48,53,27,3,12,4,0,109,412
Peregian Springs,84,224,23,116,166,89,9,35,0,0,359,1104
Beerwah,57,129,53,119,147,66,20,76,3,4,345,1024
Caloundra Hinterland,52,131,35,97,65,49,5,37,0,6,227,686
Glass House Mountains,41,115,43,80,113,57,3,39,4,0,190,683
Landsborough,75,207,57,143,203,80,10,41,4,6,422,1249
Maroochy Hinterland,38,100,27,58,69,30,0,22,0,4,188,532
Palmwoods,85,239,42,130,203,70,5,40,4,5,337,1169
Bli Bli,83,217,42,143,207,89,10,38,0,7,297,1128
Diddillibah - Rosemount,32,84,17,40,53,25,3,24,0,0,121,394
Eumundi - Yandina,95,208,47,121,151,75,15,49,15,8,393,1176
Nambour,145,411,103,322,312,191,17,140,17,8,842,2509
Noosa Hinterland,152,408,116,245,288,121,16,101,13,10,702,2171
Cambooya - Wyreema,64,198,35,79,176,65,6,37,3,7,265,928
Darling Heights,102,387,46,239,231,101,8,92,3,0,779,1988
Drayton - Harristown,64,190,36,157,197,82,10,87,3,3,450,1294
Gatton,77,84,27,75,99,37,8,232,4,7,422,1070
Gowrie (Qld),53,138,38,100,191,66,6,40,4,3,235,872
Highfields,99,396,52,149,328,84,5,28,0,5,357,1505
Lockyer Valley - West,86,214,52,128,198,66,17,83,7,5,444,1307
Middle Ridge,66,242,19,66,131,31,0,9,11,0,208,785
Newtown (Qld),66,230,51,157,180,76,8,76,0,0,458,1319
North Toowoomba - Harlaxton,51,137,23,91,96,43,8,33,4,0,267,748
Rangeville,63,279,37,98,162,41,3,23,3,0,278,988
Toowoomba - Central,89,395,78,217,273,89,10,74,8,3,546,1784
Toowoomba - East,91,394,40,91,174,43,5,18,0,0,324,1181
Toowoomba - West,104,334,61,198,378,120,8,63,3,6,486,1763
Wilsonton,66,182,54,202,216,132,13,102,3,4,616,1589
Ayr,68,174,30,113,160,72,18,75,6,5,277,998
Burdekin,60,113,28,88,134,57,15,60,4,5,209,779
Charters Towers,42,166,33,105,102,61,10,52,5,3,358,935
Dalrymple,59,44,19,39,60,18,9,37,0,0,145,430
Ingham,17,59,13,48,64,31,3,19,0,0,139,397
Ingham Region,37,94,28,68,79,50,10,31,0,0,153,547
Palm Island,4,24,0,45,22,3,0,5,0,0,211,315
Aitkenvale,33,142,24,83,76,26,5,28,9,0,238,664
Annandale,60,315,38,112,157,46,8,26,10,0,277,1060
Belgian Gardens - Pallarenda,41,126,8,35,46,10,0,16,3,4,100,380
Bohle Plains,74,278,56,138,225,85,6,25,3,5,291,1185
Condon - Rasmussen,76,210,46,166,195,85,14,72,6,0,547,1418
Cranbrook,39,122,25,95,109,29,6,36,0,3,269,733
Deeragun,256,705,154,488,742,297,48,119,16,21,1115,3969
Douglas,44,402,24,90,125,55,7,21,4,0,299,1070
Garbutt - West End,62,193,33,83,141,49,6,38,3,0,331,942
Gulliver - Currajong - Vincent,68,191,29,139,162,65,8,54,4,6,365,1093
Heatley,21,80,12,77,66,40,8,27,0,0,204,544
Hermit Park - Rosslea,43,202,30,86,107,47,6,40,4,0,242,805
Hyde Park - Pimlico,38,153,17,62,93,31,3,37,4,5,196,642
Kelso,77,166,48,195,238,116,22,53,12,11,579,1504
Kirwan - East,49,136,29,129,132,67,15,42,12,0,372,988
Kirwan - West,109,479,86,293,431,166,26,71,5,5,607,2283
Magnetic Island,17,29,11,26,22,19,0,20,0,0,75,217
Mount Louisa,90,354,48,183,304,92,16,45,4,4,385,1533
Mundingburra,28,101,11,44,64,22,4,22,0,0,100,397
Northern Beaches,59,96,31,58,138,45,9,49,0,0,239,732
Oonoonba,87,314,45,111,174,67,7,31,0,0,228,1076
South Townsville - Railway Estate,62,204,26,77,88,26,3,29,0,0,250,772
Townsville - South,44,85,22,50,78,30,9,28,0,0,135,487
Townsville City - North Ward,92,481,50,106,145,56,3,31,8,7,413,1388
Wulguru - Roseneath,31,88,27,80,118,36,8,40,0,0,332,763
Ashfield - Kepnock,29,93,21,73,103,59,0,31,0,3,197,612
Bargara - Burnett Heads,123,396,64,214,172,120,12,101,8,3,512,1729
Branyan - Kensington,37,82,14,59,97,50,0,28,3,4,184,555
Bundaberg,42,118,16,73,48,41,0,90,0,0,383,814
Bundaberg East - Kalkie,45,118,26,98,111,44,0,28,4,0,230,718
Bundaberg North - Gooburrum,49,76,12,61,98,46,0,60,3,0,271,683
Bundaberg Region - North,56,84,26,83,104,31,7,70,5,3,395,868
Bundaberg Region - South,63,81,41,79,105,47,16,59,0,5,343,834
Millbank - Avoca,40,128,26,95,117,64,5,47,0,3,264,792
Svensson Heights - Norville,27,94,23,88,74,40,5,32,0,0,247,643
Walkervale - Avenell Heights,61,163,40,153,142,93,0,86,3,10,517,1273
Gayndah - Mundubbera,63,72,19,70,83,41,0,112,0,6,234,705
Gin Gin,27,43,14,35,46,23,7,32,0,0,230,451
Kingaroy,70,238,41,156,160,71,3,82,8,3,468,1301
Kingaroy Region - North,38,125,35,115,92,31,11,48,4,5,434,934
Kingaroy Region - South,43,62,19,43,60,21,7,26,3,0,133,419
Monto - Eidsvold,46,45,12,28,42,16,8,27,0,0,152,375
Nanango,36,76,30,98,74,40,5,48,6,4,420,835
North Burnett,0,0,0,0,0,0,0,0,0,0,0,0
Cooloola,32,29,12,55,38,40,0,27,0,5,205,444
Gympie - North,71,177,75,188,192,143,16,87,3,5,695,1666
Gympie - South,37,101,29,85,115,56,6,37,4,0,287,751
Gympie Region,116,219,79,188,258,126,19,95,4,9,758,1870
Kilkivan,48,28,3,26,43,20,3,26,0,3,149,356
Booral - River Heads,18,78,19,53,75,35,4,29,3,0,172,489
Craignish - Dundowran Beach,29,87,19,58,83,26,5,17,8,3,143,482
Pialba - Eli Waters,78,238,42,171,152,96,7,62,5,3,553,1408
Point Vernon,26,82,14,83,48,41,0,23,0,0,244,562
Torquay - Scarness - Kawungan,66,259,45,213,148,102,9,66,7,5,572,1485
Urangan - Wondunna,69,241,49,162,136,102,9,65,4,7,490,1335
Burrum - Fraser,52,96,25,96,85,67,5,40,0,8,407,882
Granville,7,35,13,38,41,22,0,19,0,0,143,318
Maryborough (Qld),60,221,56,224,242,110,8,70,0,3,819,1821
Maryborough Region - South,38,67,23,72,95,36,6,31,0,6,308,680
Tinana,32,75,23,77,119,29,4,21,6,0,214,604
Migratory - Offshore - Shipping (Qld),0,5,0,0,5,0,0,3,0,0,0,12
No Usual Address (Qld),40,135,24,104,69,40,7,168,5,5,925,1518
Adelaide,200,663,74,180,243,98,9,53,18,8,1028,2560
North Adelaide,71,326,23,70,92,31,0,13,6,3,284,923
Adelaide Hills,66,119,24,82,120,29,7,29,6,0,160,640
Aldgate - Stirling,175,744,65,150,227,77,8,29,16,6,396,1889
Hahndorf - Echunga,33,114,24,57,75,24,0,7,0,6,93,429
Lobethal - Woodside,88,212,42,112,160,57,5,43,6,0,245,953
Mount Barker,166,523,89,276,372,165,13,99,6,6,660,2378
Mount Barker Region,66,138,55,79,104,46,0,40,0,0,204,739
Nairne,50,165,39,104,132,47,9,28,8,0,185,771
Uraidla - Summertown,67,172,24,43,99,22,0,7,7,0,128,574
Burnside - Wattle Park,200,697,56,165,261,104,0,21,17,11,579,2109
Glenside - Beaumont,103,362,27,81,116,42,4,18,5,6,261,1033
Toorak Gardens,159,624,38,139,207,77,5,35,4,4,499,1794
Athelstone,91,304,34,112,197,66,3,12,5,7,230,1060
Paradise - Newton,140,603,88,313,358,154,12,107,13,6,737,2534
Rostrevor - Magill,198,804,106,303,406,153,3,81,27,14,830,2911
Norwood (SA),138,534,35,148,150,67,0,36,12,3,454,1580
Payneham - Felixstow,148,532,52,189,227,90,0,41,13,4,452,1745
St Peters - Marden,149,617,48,136,219,74,0,44,9,12,435,1747
Nailsworth - Broadview,94,311,23,92,119,45,3,30,0,0,203,928
Prospect,157,623,61,171,296,81,6,68,10,8,526,2017
Walkerville,82,287,15,43,109,31,0,17,3,5,222,814
Goodwood - Millswood,238,872,72,231,289,125,13,55,23,18,624,2542
Unley - Parkside,274,997,89,186,315,110,6,41,14,14,623,2655
Gawler - North,82,212,59,156,204,89,10,59,12,0,324,1203
Gawler - South,145,380,93,279,324,174,14,117,9,7,734,2273
Lewiston - Two Wells,44,75,35,92,124,50,8,43,4,0,204,683
Craigmore - Blakeview,144,328,112,374,408,206,21,139,14,6,908,2656
Davoren Park,91,173,72,331,245,211,24,149,17,4,1418,2731
Elizabeth,20,63,23,94,56,45,5,76,0,7,867,1262
Elizabeth East,52,136,53,205,192,112,20,85,3,5,732,1598
Munno Para West - Angle Vale,108,216,70,257,323,174,15,98,14,9,695,1981
One Tree Hill,14,38,19,22,50,9,0,5,4,0,44,206
Smithfield - Elizabeth North,51,58,28,176,127,94,7,89,7,0,928,1566
Virginia - Waterloo Corner,55,55,10,47,63,19,8,29,3,7,162,451
Enfield - Blair Athol,171,602,117,383,392,149,21,277,22,23,1403,3561
Northgate - Oakden - Gilles Plains,237,959,128,414,598,182,18,163,20,11,1277,4010
Windsor Gardens,229,856,132,390,490,153,10,178,20,13,1094,3557
Dry Creek - North,0,0,0,0,0,0,0,0,0,0,0,0
Ingle Farm,93,340,64,252,312,120,4,92,20,5,621,1919
Para Hills,107,295,73,266,307,134,16,90,16,7,671,1977
Parafield,0,3,0,0,0,0,0,0,0,0,14,16
Parafield Gardens,100,269,72,372,256,152,14,189,15,3,957,2398
Paralowie,130,192,89,313,377,171,25,171,7,9,974,2458
Salisbury,76,200,61,275,219,123,18,161,10,7,1154,2309
Salisbury East,119,271,88,291,354,157,14,114,15,4,773,2194
Salisbury North,112,217,90,324,359,181,25,200,13,10,1137,2650
Mawson Lakes - Globe Derby Park,159,583,101,271,383,130,3,96,16,3,743,2483
Pooraka - Cavan,50,169,46,131,128,58,7,76,9,6,418,1091
Golden Grove,93,294,45,137,286,83,0,28,9,0,260,1238
Greenwith,85,286,44,138,278,81,4,30,9,0,255,1210
Highbury - Dernancourt,107,341,50,138,237,54,6,28,5,3,268,1233
Hope Valley - Modbury,115,459,82,302,335,124,11,102,14,3,652,2188
Modbury Heights,148,530,99,304,450,150,16,97,14,13,607,2410
Redwood Park,131,432,92,276,428,128,11,72,11,10,508,2105
St Agnes - Ridgehaven,105,346,71,227,284,114,5,38,10,3,349,1559
Brighton (SA),140,481,47,183,218,80,3,29,6,7,330,1534
Glenelg (SA),249,712,74,267,358,148,9,59,9,10,596,2506
Edwardstown,119,547,69,288,301,118,7,66,6,8,633,2161
Hallett Cove,99,368,67,182,294,85,8,26,19,4,375,1537
Marino - Seaview Downs,90,344,50,149,180,93,7,23,11,4,256,1202
Mitchell Park,125,508,57,274,268,125,7,86,7,14,726,2209
Morphettville,151,559,83,241,338,119,9,60,12,3,529,2106
Sheidow Park - Trott Park,115,354,75,232,304,112,0,39,11,0,319,1556
Warradale,135,517,61,250,297,122,8,62,11,12,657,2122
Belair,32,159,13,39,60,20,0,5,4,3,82,425
Bellevue Heights,57,244,30,95,86,38,4,25,8,4,323,911
Blackwood,125,546,47,115,206,57,3,22,8,6,270,1400
Colonel Light Gardens,185,754,56,219,317,112,4,43,17,7,462,2179
Mitcham (SA),160,677,56,136,255,65,3,36,12,4,389,1792
Panorama,66,278,24,106,145,46,3,47,8,5,318,1049
Aberfoyle Park,94,339,64,165,261,91,0,37,14,8,327,1404
Aldinga,123,285,100,309,266,178,12,84,6,8,784,2158
Christie Downs,55,120,46,161,141,87,8,48,3,7,537,1216
Christies Beach,63,179,50,174,141,83,11,48,3,0,475,1236
Clarendon,23,68,8,18,45,17,6,8,0,0,43,232
Coromandel Valley,51,196,10,59,82,24,0,8,5,0,112,542
Flagstaff Hill,95,349,40,148,215,71,3,19,12,3,302,1263
Hackham - Onkaparinga Hills,49,75,29,118,143,65,0,39,4,0,224,741
Hackham West - Huntfield Heights,38,69,52,143,117,89,10,46,8,6,475,1046
Happy Valley,143,380,69,271,335,119,7,39,16,14,414,1806
Happy Valley Reservoir,0,0,0,0,0,0,0,0,0,0,0,0
Lonsdale,0,0,0,0,0,0,0,0,0,0,0,3
McLaren Vale,51,140,42,71,91,49,0,11,0,0,135,591
Morphett Vale - East,90,225,64,251,289,162,7,82,12,7,586,1778
Morphett Vale - West,71,136,59,189,168,101,11,70,3,4,505,1308
Reynella,60,224,72,231,246,113,4,57,10,3,369,1385
Seaford (SA),177,538,135,477,518,234,10,111,7,5,928,3138
Willunga,34,73,11,49,51,18,3,19,3,0,89,341
Woodcroft,104,289,44,197,312,123,9,46,7,6,288,1417
Beverley,75,259,46,121,227,69,5,43,7,5,318,1176
Flinders Park,112,440,75,196,375,113,3,72,15,17,542,1954
Henley Beach,154,498,59,182,277,102,3,40,6,3,429,1750
Hindmarsh - Brompton,215,796,101,267,390,136,10,75,19,4,721,2733
Royal Park - Hendon - Albert Park,53,166,32,101,153,62,5,39,4,5,236,854
Seaton - Grange,160,482,67,248,313,119,7,60,14,10,575,2056
West Lakes,139,365,43,161,240,90,10,28,9,8,420,1506
Woodville - Cheltenham,154,489,100,309,326,132,15,126,18,6,765,2441
Dry Creek - South,0,0,0,0,0,0,0,0,0,0,0,0
Largs Bay - Semaphore,159,499,64,235,343,129,15,42,13,0,428,1930
North Haven,132,296,64,237,309,99,16,57,14,3,532,1755
Port Adelaide,86,257,60,193,213,86,12,68,9,3,461,1449
The Parks,108,401,94,346,261,127,15,229,23,13,1155,2771
Torrens Island,0,0,0,0,0,0,0,0,0,0,0,0
Adelaide Airport,0,0,0,0,0,0,0,0,0,0,0,0
Fulham,17,83,6,29,46,16,0,11,0,0,88,294
Lockleys,123,419,75,225,261,103,3,79,12,7,526,1829
Plympton,231,932,145,482,538,183,6,159,22,17,1054,3767
Richmond (SA),194,744,98,312,371,147,3,109,15,10,767,2775
West Beach,71,159,20,73,110,38,0,17,4,0,148,640
Barossa - Angaston,61,110,29,82,101,40,8,51,0,5,187,679
Light,87,167,61,138,161,65,5,74,4,3,320,1087
Lyndoch,51,156,27,88,124,51,4,29,0,0,184,724
Mallala,27,28,14,35,45,17,4,32,0,3,136,340
Nuriootpa,55,116,51,85,121,55,4,77,4,0,186,745
Tanunda,46,104,21,56,68,33,0,29,0,0,107,475
Clare,33,107,17,64,80,45,0,19,0,0,111,481
Gilbert Valley,49,72,19,43,59,30,0,27,0,0,168,468
Goyder,29,43,23,37,46,24,3,31,0,0,137,374
Wakefield - Barunga West,66,109,28,117,120,44,9,87,3,0,349,936
Jamestown,41,95,14,63,62,23,5,23,4,0,115,445
Peterborough - Mount Remarkable,32,65,14,58,48,20,3,23,5,4,172,448
Port Pirie,70,201,52,219,169,134,4,90,6,7,601,1547
Port Pirie Region,29,80,15,36,52,19,0,15,0,0,96,332
Kadina,20,86,24,71,59,68,4,33,0,0,208,578
Moonta,19,55,18,53,42,35,0,13,0,5,139,383
Wallaroo,20,52,15,34,35,22,0,14,0,0,148,345
Yorke Peninsula - North,59,73,18,66,83,41,0,29,0,4,175,547
Yorke Peninsula - South,24,37,16,42,18,25,3,18,0,5,97,285
Ceduna,24,63,8,69,48,20,0,14,0,4,107,352
Eyre Peninsula,67,109,39,83,112,40,6,40,0,3,190,669
Kimba - Cleve - Franklin Harbour,73,61,15,51,64,31,0,17,3,0,121,445
Le Hunte - Elliston,36,36,7,24,38,11,4,20,6,0,68,237
Port Lincoln,109,311,74,237,328,162,12,99,11,17,555,1916
West Coast (SA),46,48,9,41,48,23,6,20,0,0,146,385
Western,0,3,0,0,0,0,0,0,0,0,5,10
Whyalla,118,450,83,296,293,208,54,106,13,8,1048,2684
Whyalla - North,0,0,0,0,0,0,0,0,0,0,0,0
APY Lands,17,45,0,38,15,3,0,5,5,0,249,379
Coober Pedy,12,19,10,32,30,10,0,12,0,3,82,204
Quorn - Lake Gilles,13,37,5,23,19,8,4,11,0,0,61,186
Outback,34,28,23,20,21,9,7,28,0,0,113,277
Port Augusta,79,284,39,220,206,97,7,52,7,7,595,1603
Roxby Downs,30,99,44,71,90,46,20,45,10,0,191,648
Goolwa - Port Elliot,54,117,39,115,97,57,6,45,0,3,301,833
Kangaroo Island,51,72,26,61,62,38,6,38,0,0,119,475
Strathalbyn,32,132,35,110,133,45,5,33,4,0,259,792
Strathalbyn Region,54,130,42,83,132,50,5,51,0,5,225,771
Victor Harbor,60,170,41,168,132,95,3,62,4,0,391,1129
Yankalilla,40,53,26,52,64,39,4,34,7,0,167,483
Grant,51,76,29,58,97,47,6,35,6,0,158,565
Kingston - Robe,42,49,11,43,48,33,0,30,0,0,97,358
Millicent,15,71,20,81,63,28,0,34,0,3,195,507
Naracoorte,47,117,37,71,97,54,9,101,0,0,218,748
Naracoorte Region,35,37,10,18,38,9,5,16,0,0,62,226
Penola,33,56,14,35,52,29,0,28,0,0,108,349
Tatiara,79,96,35,64,122,56,13,92,4,3,179,737
Wattle Range,34,49,8,29,36,23,4,26,0,0,123,323
Mount Gambier - East,105,310,63,249,284,185,14,79,8,4,502,1798
Mount Gambier - West,83,292,63,212,211,158,8,80,8,3,521,1648
Barmera,46,94,32,82,83,43,9,41,0,0,197,632
Berri,22,94,13,47,50,38,0,41,3,0,184,498
Karoonda - Lameroo,36,44,14,24,29,26,0,33,0,0,93,299
Loxton,38,114,23,84,90,40,6,32,0,3,141,568
Loxton Region,17,19,4,12,23,13,4,14,0,0,57,162
Mannum,53,52,27,61,56,26,12,52,0,4,186,518
Murray Bridge,90,181,57,217,212,165,19,301,7,5,772,2023
Murray Bridge Region,32,52,28,39,54,28,3,31,0,0,91,372
Renmark,33,69,6,55,52,38,3,61,3,0,214,534
Renmark Region,42,73,13,44,78,36,3,68,9,3,177,553
The Coorong,54,50,10,66,57,36,7,46,0,0,226,549
Waikerie,42,68,29,62,54,46,10,67,4,0,215,596
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,0,0,0,0
No Usual Address (SA),8,28,10,13,21,4,0,43,0,0,236,353
Augusta,67,104,27,68,82,44,3,47,0,4,192,635
Busselton,196,446,135,394,420,220,35,239,12,5,1019,3110
Busselton Region,157,270,61,164,181,103,15,69,6,4,419,1455
Margaret River,115,230,69,200,165,108,15,133,10,6,430,1483
Australind - Leschenault,133,342,103,278,369,195,30,136,4,9,844,2449
Capel,32,108,35,65,89,45,5,45,3,0,210,633
College Grove - Carey Park,28,100,35,94,77,50,8,103,6,3,352,854
Collie,38,88,48,108,119,64,27,78,7,0,442,1015
Dardanup,31,53,11,25,51,22,8,21,0,0,113,324
Davenport,0,0,0,0,0,0,0,0,0,0,0,0
Eaton - Pelican Point,68,201,79,190,252,152,19,86,6,4,541,1604
Harvey,46,98,43,98,124,54,13,113,4,0,403,1005
East Bunbury - Glen Iris,51,113,47,104,130,78,12,66,7,0,308,918
Waroona,23,40,26,57,51,22,15,24,0,8,178,436
Dalyellup,65,280,51,153,186,89,9,64,8,4,488,1410
Gelorup - Stratham,11,57,12,27,57,22,0,7,5,0,86,286
South Bunbury - Bunbury,78,343,62,157,183,83,12,87,4,6,490,1502
Withers - Usher,28,70,20,80,50,60,6,63,6,5,326,713
Bridgetown - Boyup Brook,60,98,26,65,62,40,4,44,3,0,202,612
Donnybrook - Balingup,44,66,23,43,82,26,11,61,4,3,252,617
Manjimup,41,90,19,56,104,41,0,51,4,0,212,616
Pemberton,60,54,16,43,42,24,0,50,0,0,149,441
Dawesville - Bouvard,51,107,40,95,113,60,15,38,4,3,335,855
Falcon - Wannanup,47,155,41,102,114,64,19,28,5,4,374,961
Greenfields,36,103,40,126,92,85,19,67,10,0,524,1095
Halls Head - Erskine,122,308,83,235,233,134,28,110,10,3,738,2005
Mandurah,39,110,34,138,76,59,12,58,5,3,467,1001
Mandurah - East,26,78,22,49,78,43,10,20,3,0,224,554
Mandurah - North,143,397,108,347,345,151,28,97,20,11,933,2583
Mandurah - South,40,90,35,114,102,68,6,58,0,6,458,978
Pinjarra,47,136,48,127,112,75,26,65,3,6,487,1137
City Beach,47,187,13,21,52,18,0,4,0,0,169,498
Claremont (WA),87,347,28,59,82,56,0,9,3,3,270,943
Cottesloe,101,384,14,50,76,27,0,10,5,0,233,913
Floreat,92,362,12,24,110,28,0,5,4,5,225,867
Mosman Park - Peppermint Grove,131,437,32,107,130,56,4,40,9,5,411,1357
Nedlands - Dalkeith - Crawley,133,668,30,93,171,57,3,36,5,7,778,1991
Swanbourne - Mount Claremont,80,314,16,43,107,30,0,3,4,0,258,866
Kings Park (WA),0,0,0,0,0,0,0,0,0,0,3,5
Mount Hawthorn - Leederville,207,812,61,140,219,93,6,33,13,7,429,2016
Mount Lawley - Inglewood,290,926,87,216,345,129,11,57,19,7,681,2772
North Perth,155,574,53,133,181,61,4,34,11,4,328,1538
Perth City,676,2003,302,623,770,289,26,302,45,24,2684,7740
Subiaco - Shenton Park,220,976,62,158,250,91,4,45,25,3,771,2603
Wembley - West Leederville - Glendalough,230,980,108,293,379,147,12,234,12,6,975,3373
Bassendean - Eden Hill - Ashfield,160,569,110,226,387,99,21,63,8,5,654,2299
Bayswater - Embleton - Bedford,317,1066,140,335,512,200,27,119,35,13,1015,3783
Maylands,232,747,104,295,347,128,25,83,8,3,812,2789
Morley,201,594,125,352,490,197,42,180,18,15,1082,3298
Noranda,63,191,32,88,143,67,12,37,4,6,264,901
Chidlow,21,46,18,30,46,22,3,24,4,4,115,330
Glen Forrest - Darlington,54,217,25,65,87,29,6,16,7,0,226,724
Helena Valley - Koongamia,47,142,28,80,117,42,10,23,5,0,203,701
Malmalling - Reservoir,0,0,0,0,0,0,0,0,0,0,0,0
Mundaring,83,284,54,135,239,63,20,38,13,9,473,1403
Swan View - Greenmount - Midvale,70,180,65,159,254,104,20,84,9,14,502,1463
Avon Valley National Park,0,0,0,0,0,0,0,0,0,0,0,0
Ballajura,129,308,88,273,388,173,30,135,10,10,837,2391
Beechboro,154,340,105,342,398,196,44,159,17,9,1321,3092
Bullsbrook,41,86,32,54,113,43,10,45,4,0,270,699
Ellenbrook,384,905,243,867,1111,441,84,285,49,17,2170,6554
Gidgegannup,24,58,19,23,47,17,0,8,0,0,95,302
Hazelmere - Guildford,50,135,18,69,123,21,13,19,0,8,188,647
Lockridge - Kiara,85,275,67,223,301,106,25,99,11,5,577,1772
Malaga,0,0,0,0,0,0,0,0,0,0,0,0
Melaleuca - Lexia,0,0,0,0,0,0,0,0,0,0,0,0
Middle Swan - Herne Hill,36,78,33,66,104,31,8,37,0,3,264,665
Midland - Guildford,89,254,46,160,188,88,20,74,3,3,607,1545
Stratton - Jane Brook,66,123,48,124,179,70,11,61,4,5,320,1011
The Vines,117,228,62,172,264,100,24,44,9,6,428,1449
Walyunga National Park,0,0,0,0,0,0,0,0,0,0,0,0
Craigie - Beldon,103,331,64,203,278,106,19,53,8,6,486,1652
Currambine - Kinross,124,390,51,185,340,109,14,57,11,4,532,1805
Duncraig,131,566,66,158,268,73,7,30,14,8,445,1760
Greenwood - Warwick,136,483,68,186,315,89,10,54,8,0,468,1819
Heathridge - Connolly,100,306,54,183,262,82,8,40,17,3,417,1473
Hillarys,119,305,31,86,207,58,4,16,13,5,317,1157
Iluka - Burns Beach,100,280,31,78,194,53,0,12,4,0,246,1000
Joondalup - Edgewater,123,441,69,222,281,124,12,78,10,7,528,1894
Kingsley,105,427,50,130,269,84,7,29,4,0,388,1509
Mullaloo - Kallaroo,120,312,35,127,218,64,11,20,8,9,390,1324
Ocean Reef,58,214,21,62,147,35,7,13,5,3,220,781
Padbury,91,320,42,113,187,73,6,34,7,8,348,1224
Sorrento - Marmion,78,309,31,64,143,50,4,11,4,3,221,927
Woodvale,64,244,34,88,179,45,5,22,0,5,242,928
Balcatta - Hamersley,149,547,116,215,373,170,14,86,19,13,678,2378
Balga - Mirrabooka,118,298,95,459,299,159,37,259,20,14,1478,3243
Dianella,231,730,113,313,460,179,21,112,21,17,978,3176
Herdsman,0,0,0,0,0,0,0,0,0,0,0,0
Innaloo - Doubleview,263,1088,120,290,456,152,18,70,19,3,811,3288
Karrinyup - Gwelup - Carine,224,827,72,170,414,110,14,36,19,4,648,2549
Nollamara - Westminster,208,691,145,485,495,198,35,198,18,19,1266,3750
Osborne Park Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough,325,1034,128,338,440,173,22,92,17,3,739,3310
Stirling - Osborne Park,177,578,70,211,370,124,13,86,19,9,617,2248
Trigg - North Beach - Watermans Bay,106,292,35,92,118,60,6,10,11,0,227,948
Tuart Hill - Joondanna,192,753,98,259,330,152,11,86,6,3,692,2584
Wembley Downs - Churchlands - Woodlands,174,601,32,112,226,63,4,25,8,4,449,1707
Yokine - Coolbinia - Menora,171,679,90,243,336,116,14,90,15,4,706,2462
Alexander Heights - Koondoola,81,164,48,155,222,115,16,88,15,6,657,1567
Butler - Merriwa - Ridgewood,174,460,148,468,572,249,35,172,19,13,1493,3799
Carramar,148,510,127,378,554,201,22,126,13,8,936,3019
Clarkson,128,354,100,271,337,160,23,101,9,17,821,2318
Girrawheen,42,96,55,158,137,83,14,100,6,9,551,1251
Madeley - Darch - Landsdale,300,895,161,425,814,273,31,120,30,15,1191,4251
Marangaroo,77,232,52,164,196,104,22,101,4,6,494,1457
Mindarie - Quinns Rocks - Jindalee,155,437,82,284,364,130,9,84,18,13,761,2336
Neerabup National Park,0,0,0,0,0,0,0,0,0,0,0,0
Tapping - Ashby - Sinagra,130,409,79,230,402,123,11,71,13,8,613,2098
Wanneroo,263,747,187,450,725,243,38,182,18,15,1081,3945
Alkimos - Eglinton,120,278,61,225,308,96,14,55,0,4,521,1677
Carabooda - Pinjar,6,18,3,5,11,5,0,6,0,0,38,86
Two Rocks,26,40,23,38,51,28,5,21,0,0,165,402
Yanchep,63,189,65,149,186,69,25,76,6,10,543,1369
Armadale - Wungong - Brookdale,99,247,85,313,321,173,52,140,9,8,1293,2745
Ashendon - Lesley,0,0,0,0,0,0,0,0,0,0,3,0
Camillo - Champion Lakes,36,59,29,90,123,32,12,42,3,7,312,738
Forrestdale - Harrisdale - Piara Waters,232,980,155,416,711,283,45,116,26,11,1218,4193
Kelmscott,69,173,52,151,182,86,23,58,4,5,600,1401
